id,title,category,image_url,description
1,पेडगाव किल्ला,Dharmveerford,/asset/Dharmveer_ford.jpg,"ऐतिहासिक पेडगाव किल्ला, ज्याला धर्मवीर गड म्हणूनही ओळखले जाते."
2,पेडगाव किल्ला प्रवेशद्वार,Dharmveerford,/asset/DHARMVEER FORD.jpg,"ऐतिहासिक पेडगाव किल्ल्याचे भव्य प्रवेशद्वार."
3,श्री संत शेख महंमद महाराज मंदिर,People,/asset/SHRI SANT SHAIKH MOHAMMAD MAHARAJ.jpeg,"श्रीगोंद्यातील एक आदरणीय मंदिर."
4,श्रीगोंदा मंदिर,Events,/asset/SHRIGONDA MANDIR.jpeg,"श्रीगोंद्यातील एक सुंदर मंदिर, स्थानिक कार्यक्रमांचे केंद्र."
5,श्रीगोंदा शहर,StBusstand,/asset/SHRIGONDA.jpeg,"श्रीगोंदा शहराचे दृश्य."
6,पेडगाव किल्ला दृश्य,Dharmveerford,"/asset/Dharmveer Gad pedgoan.jpeg","पेडगाव किल्ल्यावरून निसर्गरम्य दृश्य."
7,पेडगाव किल्ल्याचे आणखी एक दृश्य,Dharmveerford,"/asset/Dharmveer Gad pedgoan.jpeg","पेडगाव किल्ल्याचे वास्तुशिल्प."
8,रँडम प्रतिमा,Events,"/asset/images (7).jpeg","एक रँडम प्रतिमा."
9,श्री छत्रपती शिवाजी महाविद्यालय,College,"https://images.unsplash.com/photo-1523050854058-8df90110c9f1","श्रीगोंद्यातील एक प्रमुख महाविद्यालय, जे विविध अभ्यासक्रम देते."
10,महाराजा जिवाजीराव शिंदे कला, विज्ञान आणि वाणिज्य महाविद्यालय,College,"https://images.unsplash.com/photo-1541339907198-e08756dedf3f","कला, विज्ञान आणि वाणिज्य शिक्षणासाठी प्रसिद्ध महाविद्यालय."
11,सोनिया गांधी पॉलिटेक्निक,College,"https://images.unsplash.com/photo-1522202176988-66273c2fd55f","विद्यार्थ्यांना तांत्रिक शिक्षण देणारे पॉलिटेक्निक महाविद्यालय."
